Gene ID	source_id	Product Description	Gene Name or Symbol	gene_source_id	P. falciparum Su Seven Stages RNA Seq data - Ring - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Early Trophozoite - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Late Trophozoite - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Schizont - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Gametocyte II - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Gametocyte V - unique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Ookinete - unique (3D7 7Stages RNA-Seq)	
PF3D7_1003300	PF3D7_1003300.1	N-terminal acetyltransferase A complex catalytic subunit ARD1, putative	ARD1	PF3D7_1003300	40.72	47.39	67.87	33.73	85.91	138.45	16.2	
PF3D7_1003400	PF3D7_1003400.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1003400	4.11	0.9	9.82	20.73	7.15	35.69	14.75	
PF3D7_1003500	PF3D7_1003500.1	40S ribosomal protein S20e, putative	N/A	PF3D7_1003500	556.38	1278.28	723.65	176.91	1489.17	395.95	258.3	
PF3D7_1003600	PF3D7_1003600.1	inner membrane complex protein 1c, putative	IMC1c	PF3D7_1003600	13.26	15.57	232.91	387.18	32.88	606.62	1626.22	
PF3D7_1003700	PF3D7_1003700.1	MKT1 domain-containing protein, putative	N/A	PF3D7_1003700	10.82	11.47	14.81	5.2	11.66	51.11	15.15	
PF3D7_1003800	PF3D7_1003800.1	U5 small nuclear ribonucleoprotein component, putative	EFTUD2	PF3D7_1003800	67.5	100.14	59.89	12.52	35.99	21.49	14.04	
PF3D7_1003900	PF3D7_1003900.1	dynein attachment factor-domain containing protein, putative	N/A	PF3D7_1003900	5.77	2.8	0.98	0	24.39	57.3	0	
PF3D7_1004000	PF3D7_1004000.1	60S ribosomal protein L13, putative	N/A	PF3D7_1004000	397.02	863.28	487.48	77.27	822.09	209.04	246.67	
PF3D7_1004100	PF3D7_1004100.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1004100	5.9	1.71	1.26	0.17	4.53	9.45	1.67	
PF3D7_1004200	PF3D7_1004200.1	WD repeat-containing protein, putative	N/A	PF3D7_1004200	8.36	20.09	42.21	31.23	10.79	27.44	16.28	
PF3D7_1004300	PF3D7_1004300.1	E3 ubiquitin-protein ligase, putative	N/A	PF3D7_1004300	171.01	72.73	167.73	84.68	32.58	101.25	166.57	
PF3D7_1004400	PF3D7_1004400.1	RNA-binding protein, putative	N/A	PF3D7_1004400	47.51	315.71	129.89	38.89	42.76	22.93	101.86	
PF3D7_1004500	PF3D7_1004500.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1004500	2.23	2.26	20.13	21.35	42.2	41.33	14.65	
PF3D7_1004600	PF3D7_1004600.1	conserved Plasmodium membrane protein, unknown function	N/A	PF3D7_1004600	3.93	0.95	14.98	9.17	19.02	60.72	105.12	
PF3D7_1004700	PF3D7_1004700.1	conserved protein, unknown function	N/A	PF3D7_1004700	5.49	4.76	21.16	12.32	57.8	427.8	62.9	
PF3D7_1004800	PF3D7_1004800.1	ADP/ATP carrier protein, putative	N/A	PF3D7_1004800	10.8	25.31	47.82	42.37	76.75	105.37	63.97	
PF3D7_1004900	PF3D7_1004900.1	conserved protein, unknown function	N/A	PF3D7_1004900	3.89	5.27	44.18	10.32	103.79	150.96	475.64	
PF3D7_1005000	PF3D7_1005000.1	methionine--tRNA ligase, putative	MRSapi	PF3D7_1005000	14.12	9.4	13.01	4.4	5.48	18.74	13.88	
PF3D7_1005100	PF3D7_1005100.1	U3 small nucleolar RNA-associated protein 25, putative	UTP25	PF3D7_1005100	47.13	22.46	6.82	2.37	16.17	90.91	27.59	
PF3D7_1005200	PF3D7_1005200.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1005200	10.05	0	0.67	0	157.11	933.61	383.83	
PF3D7_1005300	PF3D7_1005300.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1005300	3.62	0.74	0.97	0	11.6	20.93	15.85	
PF3D7_1005400	PF3D7_1005400.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1005400	2.76	0.19	0.47	2.32	7.47	13.35	13	
PF3D7_1005500	PF3D7_1005500.1	regulator of nonsense transcripts 1, putative	UPF1	PF3D7_1005500	26.53	47.12	111.43	35.92	20.13	109.42	79.39	
PF3D7_1005600	PF3D7_1005600.1	DnaJ protein, putative	N/A	PF3D7_1005600	52.37	57.41	25.22	6.99	11.63	31.58	108.24	
PF3D7_1005700	PF3D7_1005700.1	peptidase, putative	N/A	PF3D7_1005700	2.64	1.72	4.05	1.07	3.8	18.99	14.75	
PF3D7_1005800	PF3D7_1005800.1	conserved Plasmodium membrane protein, unknown function	N/A	PF3D7_1005800	3.24	0.22	15.43	35.46	26.37	86.54	39.31	
PF3D7_1005900	PF3D7_1005900.1	conserved protein, unknown function	N/A	PF3D7_1005900	5.43	1.77	50.03	22.72	12.18	25.17	362.48	
PF3D7_1006000	PF3D7_1006000.1	IMP1-like protein, putative	IMP4	PF3D7_1006000	8.36	1.2	3.91	1.93	37.1	225.93	415.66	
PF3D7_1006100	PF3D7_1006100.1	CCR4-NOT transcription complex subunit 5, putative	NOT5	PF3D7_1006100	6.64	2	20.5	3.46	422.23	156.22	166.18	
PF3D7_1006200	PF3D7_1006200.1	DNA/RNA-binding protein Alba 3	ALBA3	PF3D7_1006200	2936.23	4392.31	4277.89	1056.85	7204.52	1059.63	651.86	
PF3D7_1006300	PF3D7_1006300.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1006300	7.47	2.13	1.45	0	301.55	4881.44	354.62	
PF3D7_1006400	PF3D7_1006400.1	heptatricopeptide repeat-containing protein, putative	N/A	PF3D7_1006400	4.1	3.05	8.43	1.66	5.66	20.07	74.57	
PF3D7_1006500	PF3D7_1006500.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1006500	5.29	5.25	13.51	1.29	11.33	70.56	101.94	
PF3D7_1006600	PF3D7_1006600.1	phosducin-like protein 3, putative	PhLP3	PF3D7_1006600	11.97	25.53	42.99	11.7	81.06	223.78	222.33	
PF3D7_1006700	PF3D7_1006700.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1006700	34.22	54.39	31.93	2.15	71.52	148.37	114.91	
PF3D7_1006800	PF3D7_1006800.1	G-strand-binding protein 2, putative	GBP2	PF3D7_1006800	1755.76	1708.01	1438.96	740.37	630.98	121.99	248.89	
PF3D7_1006900	PF3D7_1006900.1	PPPDE peptidase, putative	N/A	PF3D7_1006900	42.74	46.65	115.82	34.71	466.23	537.34	81.13	
PF3D7_1007000	PF3D7_1007000.1	transmembrane protein 147, putative	TMEM147	PF3D7_1007000	10.63	18.78	40.9	11.86	133.55	243.47	108.27	
PF3D7_1007100	PF3D7_1007100.1	roadblock/LC7 domain-containing protein, putative	N/A	PF3D7_1007100	4.36	3.06	21.03	3.53	91.28	155.35	67.8	
PF3D7_1007200	PF3D7_1007200.1	rho GTPase-activating protein, putative	N/A	PF3D7_1007200	4.96	1.12	162.1	335.66	13.63	10.47	42.57	
PF3D7_1007300	PF3D7_1007300.1	RING zinc finger protein, putative	N/A	PF3D7_1007300	3.85	0.47	16.95	32.22	4.72	10.91	94.25	
PF3D7_1007400	PF3D7_1007400.1	conserved protein, unknown function	N/A	PF3D7_1007400	8.75	11.37	31.66	53.48	17.6	37.81	187.04	
PF3D7_1007500	PF3D7_1007500.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1007500	60.27	23.42	32.9	13.26	131.36	282.2	13.65	
PF3D7_1007600	PF3D7_1007600.1	conserved protein, unknown function	N/A	PF3D7_1007600	61.79	58.03	129.28	28.15	416.09	221.16	40.56	
PF3D7_1007700	PF3D7_1007700.1	AP2 domain transcription factor AP2-I	AP2-I	PF3D7_1007700	29.42	408.47	645.28	481.26	9.55	16.27	100.21	
PF3D7_1007800	PF3D7_1007800.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1007800	8.66	4.22	1.52	0.6	9.37	41.14	22.88	
PF3D7_1007900	PF3D7_1007900.1	eukaryotic translation initiation factor 3 subunit D, putative	EIF3D	PF3D7_1007900	174.39	106.72	128.63	24.28	28.48	35.98	41.01	
PF3D7_1008000	PF3D7_1008000.1	histone deacetylase 2	HDA2	PF3D7_1008000	49.88	58.68	51.06	26.88	10.16	30.05	21.25	
PF3D7_1008100	PF3D7_1008100.1	PHD finger protein PHD1	PHD1	PF3D7_1008100	67.12	98.53	44.2	35.99	11.78	27.5	34.48	
PF3D7_1008200	PF3D7_1008200.1	flap endonuclease, putative	N/A	PF3D7_1008200	6.84	1.71	18.33	9.55	13.58	22.1	7.65	
PF3D7_1008300	PF3D7_1008300.1	AP-5 complex subunit sigma-1, putative, pseudogene	N/A	PF3D7_1008300	9.44	1.42	1.16	0	22.82	19.42	0	
PF3D7_1008400	PF3D7_1008400.1	26S protease regulatory subunit 4, putative	RPT2	PF3D7_1008400	165.62	131.58	486.58	220.65	261.12	68.82	192.13	
PF3D7_1008500	PF3D7_1008500.1	protein GPR89, putative	N/A	PF3D7_1008500	24.15	4.45	33.6	22.12	12.12	41.34	29.82	
PF3D7_1008600	PF3D7_1008600.1	zinc finger (CCCH type) protein, putative	N/A	PF3D7_1008600	4.71	0.41	5.14	2.77	22.97	103.46	38.55	
PF3D7_1008700	PF3D7_1008700.1	tubulin beta chain	N/A	PF3D7_1008700	71.11	213.87	3850.02	3224.19	2532.42	346.09	435.75	
PF3D7_1008800	PF3D7_1008800.1	nucleolar protein 5, putative	NOP5	PF3D7_1008800	163.89	205.12	86.24	7.47	64.67	70.06	167.72	
PF3D7_1008900	PF3D7_1008900.1	adenylate kinase	AK1	PF3D7_1008900	109.55	247.96	299.12	77.29	147.78	54.66	112.21	
PF3D7_1009000	PF3D7_1009000.1	diphthine methyl ester synthase, putative	DPH5	PF3D7_1009000	38.93	27.48	10.77	3	8.11	19.57	10.82	
PF3D7_1009100	PF3D7_1009100.1	conserved Plasmodium membrane protein, unknown function	N/A	PF3D7_1009100	3.72	1.58	0.56	0	17.67	253.05	5.74	
PF3D7_1009200	PF3D7_1009200.1	ribonuclease, putative	N/A	PF3D7_1009200	24.49	9.76	7.06	2.48	11.4	20.91	24.36	
PF3D7_1009300	PF3D7_1009300.1	AMP-binding protein, putative	N/A	PF3D7_1009300	14.61	14.36	16.72	28.5	319.27	102.25	24.75	
PF3D7_1009400	PF3D7_1009400.1	zinc finger protein, putative	ZNF2	PF3D7_1009400	24.96	77.93	101.9	41.51	62.07	23.88	15.02	
PF3D7_1009500	PF3D7_1009500.1	metalloprotease, putative	N/A	PF3D7_1009500	4.22	13.58	40.04	23.6	39.64	89.62	77.79	
PF3D7_1009600	PF3D7_1009600.1	protein phosphatase PPM10, putative	PPM10	PF3D7_1009600	6.02	31.54	20.47	0.42	14.16	40.32	48.67	
PF3D7_1009700	PF3D7_1009700.1	tubulin--tyrosine ligase, putative	N/A	PF3D7_1009700	10.94	3.04	58.49	183.67	19.49	115.46	42.06	
PF3D7_1009800	PF3D7_1009800.1	conserved Plasmodium membrane protein, unknown function	N/A	PF3D7_1009800	31.31	25.15	8.06	3.83	21.36	41.19	7.37	
PF3D7_1009900	PF3D7_1009900.1	heptatricopeptide repeat-containing protein, putative	N/A	PF3D7_1009900	14.38	7.4	6.2	1.32	15.2	54.85	13.98	
PF3D7_1010000	PF3D7_1010000.1	ribosomal protein L43, mitochondrial, putative	N/A	PF3D7_1010000	20.11	30.54	79.7	45.33	46.07	44.75	206.19	
PF3D7_1010100	PF3D7_1010100.1	PI31 domain-containing protein, putative	N/A	PF3D7_1010100	53.42	13.49	42.68	14.5	186.05	442.13	190.68	
PF3D7_1010200	PF3D7_1010200.1	DNA2/NAM7 helicase, putative	N/A	PF3D7_1010200	143.66	111.31	24.7	4.15	8.36	19.07	12.12	
PF3D7_1010300	PF3D7_1010300.1	succinate dehydrogenase subunit 4, putative	SDH4	PF3D7_1010300	106.14	24.46	116.69	81.52	36.49	114.56	137.48	
PF3D7_1010400	PF3D7_1010400.1	MORN repeat protein, putative	N/A	PF3D7_1010400	16.76	2.94	16.57	20.92	28.94	63.59	180.65	
PF3D7_1010500	PF3D7_1010500.1	ankyrin-repeat protein, putative	N/A	PF3D7_1010500	4.66	0.9	10.3	65.56	193.99	203.97	37.91	
PF3D7_1010600	PF3D7_1010600.1	eukaryotic translation initiation factor 2 subunit beta	eIF2beta	PF3D7_1010600	971.47	566.72	638.99	282.3	447.86	230.1	88.93	
PF3D7_1010700	PF3D7_1010700.1	dolichyl-phosphate-mannose--protein mannosyltransferase, putative	N/A	PF3D7_1010700	280.66	302.04	435.82	216.54	1935.37	519.63	70.83	
PF3D7_1010800	PF3D7_1010800.1	50S ribosomal protein L22, mitochondrial, putative	N/A	PF3D7_1010800	4.53	5.79	16.82	9.63	55.16	88.78	39.66	
PF3D7_1010900	PF3D7_1010900.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1010900	6.8	8.75	19.66	3.54	51.97	145.21	59.49	
PF3D7_1011000	PF3D7_1011000.1	inner membrane complex sub-compartment protein 1	ISP1	PF3D7_1011000	4.69	4.58	87.43	59.78	652.35	128.73	71.8	
PF3D7_1011100	PF3D7_1011100.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1011100	5.24	5.5	5.21	3.15	2.15	5.9	3.02	
PF3D7_1011200	PF3D7_1011200.1	BET1-like protein, putative	BET1	PF3D7_1011200	12.66	26.34	26.89	1.77	116.01	62.5	21.31	
PF3D7_1011200	PF3D7_1011200.2	unspecified product	BET1	PF3D7_1011200	12.66	26.34	26.89	1.77	116.01	62.5	21.31	
PF3D7_1011300	PF3D7_1011300.1	protein ARV1, putative	ARV1	PF3D7_1011300	8.34	4.51	11.44	9.92	27.11	94.08	9.99	
PF3D7_1011400	PF3D7_1011400.1	proteasome subunit beta type-5	N/A	PF3D7_1011400	23.11	33.23	104.71	42.49	123.4	234.66	120.3	
PF3D7_1011500	PF3D7_1011500.1	conserved protein, unknown function	N/A	PF3D7_1011500	37.97	32.49	31.99	24.63	164.04	189.47	1532.4	
PF3D7_1011600	PF3D7_1011600.1	heptatricopeptide repeat-containing protein, putative	N/A	PF3D7_1011600	6.5	10.15	6.82	3.47	7.18	17.42	2.27	
PF3D7_1011700	PF3D7_1011700.1	DNA repair protein RAD23, putative	RAD23	PF3D7_1011700	68.69	100.68	102.33	28.58	90.58	84.79	77.54	
PF3D7_1011800	PF3D7_1011800.1	PRE-binding protein	PREBP	PF3D7_1011800	403.91	1127.72	291.84	99.04	128.37	231.74	484.04	
PF3D7_1011900	PF3D7_1011900.1	heme oxygenase	HO	PF3D7_1011900	13.14	11.51	62.83	35.75	72.87	84.76	16.2	
PF3D7_1012000	PF3D7_1012000.1	RING zinc finger protein, putative	N/A	PF3D7_1012000	37.01	28.34	65.91	78.13	15.76	82.6	84.32	
PF3D7_1012100	PF3D7_1012100.1	conserved protein, unknown function	N/A	PF3D7_1012100	6.42	14.21	53.63	114.9	9.98	30.09	47.28	
PF3D7_1012200	PF3D7_1012200.1	rhoptry associated adhesin	RA	PF3D7_1012200	4.02	0.38	91.96	449	31.97	35.74	66.6	
PF3D7_1012300	PF3D7_1012300.1	cytochrome b-c1 complex subunit 7, putative	QCR7	PF3D7_1012300	8.22	1.85	118.84	85.55	510.18	425.24	82.2	
PF3D7_1012400	PF3D7_1012400.1	hypoxanthine-guanine phosphoribosyltransferase	HGPRT	PF3D7_1012400	952.83	4573.82	3277.89	885.21	608.55	182.3	269.26	
PF3D7_1012500	PF3D7_1012500.1	phosphoglucomutase, putative	N/A	PF3D7_1012500	25.65	30.86	73.64	14.59	8.5	26.6	27.54	
PF3D7_1012600	PF3D7_1012600.1	GMP synthase [glutamine-hydrolyzing]	GMPS	PF3D7_1012600	146.59	63.28	46.88	4.45	14.14	6.79	8.92	
PF3D7_1012700	PF3D7_1012700.1	NLI interacting factor-like phosphatase, putative	NIF4	PF3D7_1012700	12.56	11.25	27.18	12.62	7.58	13.75	17.57	
PF3D7_1012800	PF3D7_1012800.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1012800	5.5	1.3	3.57	0.48	9.09	19.48	0.57	
PF3D7_1012900	PF3D7_1012900.1	autophagy-related protein 18	ATG18	PF3D7_1012900	316.19	239.77	132.99	44.96	62.22	103.49	44.24	
PF3D7_1013000	PF3D7_1013000.1	zinc finger protein, putative	N/A	PF3D7_1013000	6.63	10.29	14.01	9.11	9.24	42.8	10.47	
PF3D7_1013100	PF3D7_1013100.1	U3 small nucleolar RNA-associated protein 13, putative	UTP13	PF3D7_1013100	79.13	50.27	23.19	4.4	9.13	81.59	21.52	
PF3D7_1013200	PF3D7_1013200.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1013200	6.12	83.33	36.53	30.23	4.85	18.12	18.16	
PF3D7_1013300	PF3D7_1013300.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1013300	10.54	9.42	11.07	7.22	4.1	10.23	1.58	
PF3D7_1013400	PF3D7_1013400.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1013400	4.76	1.86	7.79	3.36	4.12	14.02	9.94	
PF3D7_1013500	PF3D7_1013500.1	phosphoinositide-specific phospholipase C	PI-PLC	PF3D7_1013500	9.11	25.13	26.93	15.04	8.3	22.55	16.81	
PF3D7_1013600	PF3D7_1013600.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1013600	3.34	3.22	24.53	15.39	7.29	24.63	6.42	
PF3D7_1013700	PF3D7_1013700.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1013700	3.54	6.65	19.98	6.45	134.47	198.07	25.82	
PF3D7_1013800	PF3D7_1013800.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1013800	6.05	2.52	52.83	80.95	7.95	13.06	37.67	
PF3D7_1013900	PF3D7_1013900.1	translation initiation factor eIF-2B subunit delta, putative	N/A	PF3D7_1013900	42.94	28.83	34.87	24.96	28.82	22.44	7.84	
PF3D7_1014000	PF3D7_1014000.1	GDP-L-fucose synthase	FS	PF3D7_1014000	3.94	0.74	7.37	1.79	4.08	20.26	0	
PF3D7_1014100	PF3D7_1014100.1	merozoite surface protein MSA180	MSA180	PF3D7_1014100	3.31	0.49	8.42	20.27	0.97	6.43	13.28	
PF3D7_1014200	PF3D7_1014200.1	male gamete fusion factor HAP2, putative	HAP2	PF3D7_1014200	2.74	0.34	1.55	0.23	3.16	2.67	2.79	
PF3D7_1014300	PF3D7_1014300.1	SPRY domain-containing protein, putative	N/A	PF3D7_1014300	6.12	12.94	75.12	38.68	30.57	73.96	28.54	
PF3D7_1014400	PF3D7_1014400.1	MO15-related protein kinase	MRK	PF3D7_1014400	18.47	10.68	12.7	3.18	7.22	9.03	1.53	
PF3D7_1014500	PF3D7_1014500.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1014500	4.49	3.65	3.05	0.48	1.62	6.02	0.76	
PF3D7_1014600	PF3D7_1014600.1	transcriptional coactivator ADA2	ADA2	PF3D7_1014600	154.06	327.86	269.99	169.75	33.58	31.01	70.55	
PF3D7_1014700	PF3D7_1014700.1	prohibitin 2, putative	PHB2	PF3D7_1014700	20.8	93.08	27.48	5.41	132.37	135.23	42.26	
PF3D7_1014800	PF3D7_1014800.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1014800	3.32	0.49	2.45	2.22	4.78	15.74	4.16	
PF3D7_1014900	PF3D7_1014900.1	protein KIC8	KIC8	PF3D7_1014900	4.67	1.41	25.79	47.71	5.2	90.11	107.85	
PF3D7_1015000	PF3D7_1015000.1	FAD synthetase, putative	N/A	PF3D7_1015000	3.44	2.79	6.84	6.9	17.84	42.28	12.06	
PF3D7_1015100	PF3D7_1015100.1	CWC16 domain-containing protein, putative	N/A	PF3D7_1015100	18.83	12.35	18.91	13	7.69	34.69	19.98	
PF3D7_1015200	PF3D7_1015200.1	cysteine--tRNA ligase	CysRS	PF3D7_1015200	35.5	60.33	44.96	10.05	5.54	10.72	11.7	
PF3D7_1015200	PF3D7_1015200.2	cysteine--tRNA ligase	CysRS	PF3D7_1015200	35.5	60.33	44.96	10.05	5.54	10.72	11.7	
PF3D7_1015200	PF3D7_1015200.3	cysteine--tRNA ligase	CysRS	PF3D7_1015200	35.5	60.33	44.96	10.05	5.54	10.72	11.7	
PF3D7_1015300	PF3D7_1015300.1	methionine aminopeptidase 1b, putative	METAP1b	PF3D7_1015300	87.03	87.83	39.29	4.78	12.01	8.5	12.44	
PF3D7_1015400	PF3D7_1015400.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1015400	6	3.43	29.26	20.53	5.91	12.64	5.76	
PF3D7_1015500	PF3D7_1015500.1	nucleotidyltransferase, putative	N/A	PF3D7_1015500	2.11	4.14	5.15	1.68	2.1	5.33	0	
PF3D7_1015600	PF3D7_1015600.1	heat shock protein 60	HSP60	PF3D7_1015600	31.78	544.64	320.05	143.52	49.29	22.02	20.48	
PF3D7_1015700	PF3D7_1015700.1	tubulin binding cofactor c, putative	N/A	PF3D7_1015700	2.36	0.91	16.76	6.14	11.88	19.77	1.48	
PF3D7_1015700	PF3D7_1015700.2	tubulin binding cofactor c, putative	N/A	PF3D7_1015700	2.36	0.91	16.76	6.14	11.88	19.77	1.48	
PF3D7_1015800	PF3D7_1015800.1	ribonucleoside-diphosphate reductase small chain, putative	N/A	PF3D7_1015800	6.07	7.9	153.77	53.44	67.06	66.79	19.18	
PF3D7_1015900	PF3D7_1015900.1	enolase	ENO	PF3D7_1015900	1098.79	3111.26	2289.21	802.51	351.29	38.16	84.29	
PF3D7_1016000	PF3D7_1016000.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1016000	5.24	1.69	9.55	13.64	4.14	77.92	6.55	
PF3D7_1016100	PF3D7_1016100.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1016100	3.29	1.39	0.48	0	18.65	40.64	5.76	
PF3D7_1016200	PF3D7_1016200.1	Rab3 GTPase-activating protein non-catalytic subunit, putative	N/A	PF3D7_1016200	28.27	17.84	11.22	5.15	19.46	59.32	1.77	
PF3D7_1016300	PF3D7_1016300.1	GBP130 protein	GBP130	PF3D7_1016300	722.14	458.57	1488.02	476.6	227.89	11.95	123.79	
PF3D7_1016400	PF3D7_1016400.1	serine/threonine protein kinase, FIKK family	FIKK10.1	PF3D7_1016400	135.09	206.84	83.81	12.18	32.51	13.87	4.88	
PF3D7_1016500	PF3D7_1016500.1	Plasmodium exported protein (PHISTc), unknown function	N/A	PF3D7_1016500	4.35	1.06	2.06	0	1.99	6.64	3.87	
PF3D7_1016600	PF3D7_1016600.1	Plasmodium exported protein (PHISTc), unknown function	N/A	PF3D7_1016600	13.73	0.52	12.08	6.25	18.57	59.08	6.68	
PF3D7_1016700	PF3D7_1016700.1	Plasmodium exported protein (PHISTc), unknown function	N/A	PF3D7_1016700	59.43	25.13	8.63	0.5	0.85	6.48	25.65	
PF3D7_1016800	PF3D7_1016800.1	Plasmodium exported protein (PHISTc), unknown function	N/A	PF3D7_1016800	75.34	5.67	12.05	3.93	7.82	29.52	34.63	
PF3D7_1016900	PF3D7_1016900.1	early transcribed membrane protein 10.3	ETRAMP10.3	PF3D7_1016900	21.82	50.13	807.63	136.34	89715.85	2928.45	3224.83	
PF3D7_1017000	PF3D7_1017000.1	DNA polymerase delta catalytic subunit	N/A	PF3D7_1017000	4.97	18.33	51.98	16.02	11.68	10.92	61.12	
PF3D7_1017100	PF3D7_1017100.1	rhoptry neck protein 12	RON12	PF3D7_1017100	1.27	0.33	39.15	50.44	2.64	5.17	46.23	
PF3D7_1017200	PF3D7_1017200.1	enoyl-CoA hydratase-related protein, putative	N/A	PF3D7_1017200	2.35	0.58	11.39	4.66	2.65	4.08	2.8	
PF3D7_1017300	PF3D7_1017300.1	golgi re-assembly stacking protein 1	GRASP	PF3D7_1017300	5.61	9.78	19.19	14.91	9.07	160.41	169.89	
PF3D7_1017300	PF3D7_1017300.2	golgi re-assembly stacking protein 2	GRASP	PF3D7_1017300	5.61	9.78	19.19	14.91	9.07	160.41	169.89	
PF3D7_1017400	PF3D7_1017400.1	phosphomannomutase, putative	PMM	PF3D7_1017400	56.87	40.02	34.72	4.21	253.88	321.01	259.02	
PF3D7_1017500	PF3D7_1017500.1	myosin essential light chain ELC	ELC	PF3D7_1017500	17.62	3.78	166.19	41.28	542.46	1003.05	444.36	
PF3D7_1017600	PF3D7_1017600.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1017600	97.83	79.06	35.52	6.16	9.54	29.92	115.78	
PF3D7_1017700	PF3D7_1017700.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1017700	9.78	7.54	6.16	2.81	5.6	34.32	59.72	
PF3D7_1017800	PF3D7_1017800.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1017800	12.6	10.1	10.93	5.26	11.66	35.85	1.74	
PF3D7_1017900	PF3D7_1017900.1	26S proteasome regulatory subunit p55, putative	RPN5	PF3D7_1017900	85.68	74.08	157.18	123.05	39.37	65.88	46.61	
PF3D7_1018000	PF3D7_1018000.1	tRNA pseudouridine synthase, putative	N/A	PF3D7_1018000	16.15	7.46	12.49	5.15	7.74	46.11	39.77	
PF3D7_1018100	PF3D7_1018100.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1018100	3.2	0.9	2.36	0.73	7.05	67.19	26.28	
PF3D7_1018200	PF3D7_1018200.1	serine/threonine protein phosphatase 8, putative	PPP8	PF3D7_1018200	11.68	3.04	88.81	353.65	27.46	66.59	117.14	
PF3D7_1018300	PF3D7_1018300.1	peptidase, putative	N/A	PF3D7_1018300	52.12	52.27	45.6	11.58	16.75	51.06	108.33	
PF3D7_1018400	PF3D7_1018400.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1018400	19.54	5.36	3.34	2.06	186.6	3464.3	54.54	
PF3D7_1018500	PF3D7_1018500.1	pre-mRNA-splicing factor RDS3, putative	RDS3	PF3D7_1018500	472.82	725.36	569.3	617.36	3736.62	1323.89	393.97	
PF3D7_1018600	PF3D7_1018600.1	tRNA wybutosine-synthesizing protein, putative	N/A	PF3D7_1018600	50.66	53.9	14.97	6.39	10.66	42.72	90.83	
PF3D7_1018700	PF3D7_1018700.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1018700	193.66	145.53	42.37	23.97	15.33	57.96	23.99	
PF3D7_1018800	PF3D7_1018800.1	conserved protein, unknown function	N/A	PF3D7_1018800	36.91	10.51	6.18	1.75	15.39	75.43	6.99	
PF3D7_1018900	PF3D7_1018900.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1018900	23.07	7.41	8.55	3.74	9.82	105.5	13.83	
PF3D7_1019000	PF3D7_1019000.1	eukaryotic translation initiation factor subunit eIF2A, putative	N/A	PF3D7_1019000	167.77	168.21	95.57	91.28	46.68	31.7	141.77	
PF3D7_1019100	PF3D7_1019100.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1019100	4.46	0.4	10.46	20.65	9	194.94	239.54	
PF3D7_1019200	PF3D7_1019200.1	conserved Plasmodium protein, unknown function	N/A	PF3D7_1019200	2.65	0.32	1.04	2.58	3.3	60.08	30.99	
PF3D7_1019300	PF3D7_1019300.1	zinc finger protein, putative	N/A	PF3D7_1019300	7.65	2.46	30.58	27.28	10.05	67.45	51.18	
PF3D7_1019400	PF3D7_1019400.1	60S ribosomal protein L30e, putative	N/A	PF3D7_1019400	407.89	848.85	483.2	98.47	847.35	303.36	363.87	
